word,meaning
pilosopo,See dictionary entry
piluka,Old for processing sugar; the container with hole at bottom in which crushed sugar cane was held to drip into pot placed below. (N./V./D.) ask questions with the person who acts thus; wear wig. have wig; be wearing wig
pilunan,Placenta
pilyu,See dictionary entry
pin,Naughty. certainly; definiteness
pinandit,While; pinaud/pinaqud (D./V.?)
pindang,Jerked beef or pork; in sauce. babiq; damulag
pinggan,Dishes
pingul,Ear lobe
pinta,Of the suit on monte cards; bastus
pintig,See dictionary entry
pintura,Enamel
pinu,Fine; smooth
pinuman,Water jar (drinking water)
pipakwan,(e.g. in fence); thing to be nailed into
pipi,See dictionary entry
pipiq,Wash things
pipit,Small kind of bird
pirait/pirayit,Cheat; deceive
pirasu,See dictionary entry
piris,Tiny worm (larva?)said to be very
pirmi/pilmi,Assure; sign ones name
pisabi,Things said; conversation
pisalubung,Kind made from glutinous rice; (probably used as gifts?)
pisamban,Church
pisan,Alang first
pisara,Chalkboard
pisiq,See dictionary entry
piskarul,Kind of bird
pisngiq/pisniq,See dictionary entry
pistiso,Filed teeth
pisuk,See dictionary entry
pisuq,Unsharpened bolo
pitaklan,See dictionary entry
pitik,Make tapping noise; carpenters tool used for lines (pulley device with string and powder like graphitethe powdered string is laid on the place to be and then the line is plunked)
pititcan,(V./D./.?) babiq the crisp skin of roast delicacy
pitlungan,Back of the knee. pitna(q) halved; half; bengi)? pitcu/picu/pitsu; gullet?. buksi?
pitu/pito,Seven. 17
piu/pihu/piyu,Sure; apiu; apipiu
plaka,Phonograph record. palasdan/plasdan; fishpond
planca,Clothes
plaslayt,Flashlight
platino,See dictionary entry
plato,Little plate; saucer
plays,Contacts; the electrical contact points in an engine; plate; platito; pliers
pluma/puluma,See dictionary entry
politiko,Title of respect or social distance). say poq to someone; one who is/was candidate for political office
pompiang,Twin numbers in betting game called weting
ponding,Nickname; from Alfonso
pondu,Budget; funds
poq/puq,See dictionary entry
por,Por kwatru by fours; por buntuk by the head; porsyentu
porma,Shape; form
pormal,Por kwatru by fours; por buntuk by the head; porsyentu; form; shape; have the shape; take the shape; formal; quiet; reserved
pormeru,(D./Q.) formerly; first
pot-pot,Toot. potreru/potureru; name of barrio of Bacolor
pota,Later. potang the future
poyeta/poeta,See dictionary entry
premyu,Prize; reward
preparadu,Prepared
presku,See dictionary entry
primeru,First
prisyun,Blood pressure; have
puad/puwad,See dictionary entry
puga,See dictionary entry
pugad,Yang pugad He is looking for nest i.e. is courting girl
puge,See dictionary entry
pugon,See dictionary entry
puguq,See dictionary entry
puki,Female genitals
pukpuk,Hammer. hit on head
pukulan,Throw at someone. be thrown at
pukut/pukud,Dragnet
pulai,Fish eggs; nest. basket for chickens esp. fightingcocks; pugad dareng whorehouse; yang pugad He is searching for nest; fruit of the tree; stove; quail; Puguq nickname); dragnet; pukut. the net used; pull tight (the string to sack); capital; puqin (used to tease); shortsighted
pulaq,See dictionary entry
pulbus/pulbo,Dust; powder. pulbus tabaku shredded tobacco
pulgas,Flea(s)
pulgatoryu,Catholic teaching the place where souls are sent for temporary punishment
pulikat,See dictionary entry
puling,See dictionary entry
pulis,Police
pulmeru,See dictionary entry
pulpi,See dictionary entry
pulsu,See dictionary entry
pulubi,Primeru; start something; () have engine trouble; pulse; forest
pulupulu,Whorl (hairat back of head)
puluq,See dictionary entry
pulurwaks,See dictionary entry
pulut,Something up
pumutuk,Floorwax; wax floor; molasses; something up; sideline (used as an euphemism for prostitute)
pun,Afternoon; the whole day
punggul,Cuffs (of shirt). French cuffs; cup hands; reach around with fingers; kasapunggu1 handful
pungsuq,Anthill; (home of the
puniq,Tree trunk. source; ceremonial served in front of the church in connection with the Good Friday singing of the
punla,Cutting(s); sugar cane planting
punsun,See dictionary entry
punta,See dictionary entry
puntuk,Pupunta; carry on head
punuq,Young coconut
punyus,Cuffs (of shirt). French cuffs
pupul,Gather; pupupul
puq/poq,See dictionary entry
puqin,Puqin (used to tease)
purga,See dictionary entry
purus,See dictionary entry
pusad,Gather; pupupul; laxative; take laxative; take; always; navel; carry on shoulder; pupusit squeeze tube). blow your nose; elope; sneak wager. pupusta
pusan,Binder; fetters; chain; gagapus be bound; tied. ginapus; gapus
pusaq,See dictionary entry
pusit,See dictionary entry
pusitara,See dictionary entry
puslit,See dictionary entry
pusta,See dictionary entry
pusuq,Heat. banana heart
puta,See dictionary entry
putat,Whore; bitch; young leaves of made into sauce
putiq/puti,White; grow white; fade
putlaq,See dictionary entry
putput,Pluck. putput
putu,Small bird; the rice bird. delicacy made of sugar; coconut; and glutinous rice
putul,Sibling. companion in being cut
putut,Pluck. putput; cake; bread (made of rice). putu seko; putu sulut; putu bumbung; putu; pututpanara; collect (e.g. shells); harvest. puputul; sibling; putut; thing cut. puqunan/puhu- nan/puunan; capital
puyat,Lacking sleep
pwersa,(N./V.) force; powerful
pyun,Helper
qabugadu,Submit something to lawyers; lawyer
qaginaldu,Qalataq/ qalatadu
qalburutu,Noise; make noise
qarkila,Note: Probably all lexical entries listed as beginning with vowel actually begin with glottal stop. satisfied; full (of food); lawyer; attorney; study law; debate; engage in competitive conversation; submit something to lawyers; Christmas present; (V./.) qalataq/qalatadu notice; be angry; noise; make noise; rent space; hire vehicle
qatik,Money; wealth
qatras,(Q./V.) go back; reverse; retrogress
qawigqawig,Similar in appearance
qibe,See dictionary entry
qili,See dictionary entry
qilig,See dictionary entry
qimpis,Dizzy; have taste be eager laugh. maqili/mayli. have taste be fond thin; make something thin; made too thin
qimuq,Wash face. manqimuq/manimuq
qingat,Git/-; grow weak; be weak. (N./V.) drink; place to drink; thing to drink. num thing drunk; ininum/qinqinum; potable; drunk; beware; take care; be envious
qinum,Drink; drinking jar
qisip,Think. sip; qisip; thoughtful
qisis,See dictionary entry
qislang,See dictionary entry
qistorya,See dictionary entry
qos,Wash (dishes; feet)
qospital,Hospital. (V./.); qospital
qu,See dictionary entry
qukyat,Think. sip; qisip; thoughtful; annual or scrubbing of houses. nisis; yisis; slang (speech with an accent); history; story; tell story; tell about something; talkative; wash (dishes; feet); hospital. (V./.); qospital; thirsty; climb; ascend; qukyat
qurud,Nqurud; qurud
quyab,Yawn; belch nquyab/nuyab
ra/da,See dictionary entry
rabit,Philippine Rabbit name of bus line; used for each bus. radyu/raju; radio. / dagsaq; slanted; / dagul / dalas / danum; large; dagul; daragul; seldom; once in while; danum water; watered something
ranun,Early. / danup; hungry; dumanup; / dangal; dangal honor; honesty; honest; having
rapal,Soon; early
ras/das,Result; reach place)
ratun,Usual; usually; often. / dayuq; distant
rebuho,Jewelry decorations (e.g. engraving on
regalu,Gift. / degla; be regular; things
reklamo,Demand; complaint
relo,Watch; wristwatch; in possession of watch; (oblique reference to venereal disease).. eljin
ren/den,Those/these
reni/deni,See dictionary entry
repolyo,Cabbage
requnyon,Reunion; family reunion (e.g. on anniversary of death)
resibu,Receipt; chit; bill
respetu,Respect someone
reta/deta,See dictionary entry
reyna,See dictionary entry
ri/di,(CMP) special; plural
rikadu,See dictionary entry
rilis,See dictionary entry
rimarima,Rhymed speech
rimas,Kind of fruit; grouped with yangkaq and / dimla / dinat; cold; cold weather; cold substance; dinat dirt; fecal; dirty. /dine; shame; embarrassment; loss of kamar(i)nayan
riport,Present oneself; appear for assignment. rir(i); envious; envy someone. / ditak
ro/do,Little; small amount; diritak become few()
rosendo,Name
roskas,Screw (the device)
ruk/-rok,See dictionary entry
rungut,Join (n)/ dusa /; curse; punish; have dirty face
runut,Dried up; decomposed (of leaves)
ruweda,See dictionary entry
saba,Wish; banana type which is used for cooking
sabadu,Saturday
sabal,See dictionary entry
sabat,Block; barricade something; be hijacked; childrens game consisting of zones and teams of players; one set tries to from one zone to another without being tagged by the other team; the field on which this game is played
sabi,Bump; block; barricade something; be hijacked; childrens game consisting of zones and teams of players; one set tries to from one zone to another without being tagged by the other team; the field on which this game is played; tell. sinabi; saying; proverb. sinabi appointment; conversation; thing talked about; things talked about; thing said
sabik,See dictionary entry
sabit,(V./D./.) long be eager sasabik; sinabik; hang; dangle; cling; sinabit; sasabit
sablaq,Everyone; everything
sablayan,Clothesline
sable,Clothesline
sabo,Hang things on line to dry. sable; sible; clothesline; soup; juice; sauce. water which results from washing abyas; juicy (e.g. watermelon)
sabsab,Eat like
sabul,Scramble
sabun,Soap. lather
sabung,Soap. lather; sasabung fighting cocks againt each other; sumabung; sabung/sabungan cockpit
sadja,Boundary. reign; government; capture. sinakup; sakup; spread of food; occasion. sidja; sidja; arranged. (D./Q.) formerly; same as usual. ning sadja like before; like always
sadsad,Anchor; sinadsad; sidsad; apasadsad
sagakgak,Guffaw. sasagakgak; sinagakgak. sagana(q); encounter; go upstream. sasagana
sagapan,See dictionary entry
sagin,Banana. banana grove; plantation; pusung sagin banana heart (used as foodsalad; drops of liquid taken from at used as Types; saba; bilyakuq; gapis
sagiwaq,Fresh; still liquid (water being
saglaway,Refer saglawe
sagmit,Grab; snatch. sigmit; asagmit
sagoso,Commotion. sagu(q); horn (of animal: deer; carabao); gore. seguq; saguliq/ sagliq (D./Q.) just moment; quickly; sinaguliq
saguyud,Speak in the manner common around Sta; Ursula; Betis; sasaguyud
sagwaq,Coarse; ugly; sasagwaq. saqingsing; groan; moan. sasaqingsing; sinaqingsing
sakab,(V./.) fall on face. lying
sakag,Fish net; small
sakal,Choke; strangle
sake,(Preposition) on behalf for the sake of/ purpose of
sakit,Choke; strangle; ride. sasake; sinake; sake; sake rider. saken vehicle; act of riding. (D./V./N./.) hurts; difficult; hard; sick person; sakit disease; feel hurt; grudge; be hurt; get hurt; feel; experience hardship; difficulty or; sasakit; sinakit; sakit give sakit; effort; care
sakla,Gambling game
saklo,Fetch (e.g. water); sasaklo
saklub,(N./V.) cover; carry clutched to chest
sakmal,Grab in fist; sikmal; sinakmal; handful
sakobli,See dictionary entry
saksak,See dictionary entry
saksiq,Grab in fist; sikmal; sinakmal; handful; bounce; sasakobli; sinakobli; stab; sexually; witness. saksing oba Jehovahs witness
saku/sako,See dictionary entry
sakul,Plant sugar cane; tanam
sakunaq,Disaster; accident
sakung,See dictionary entry
sakup,Put limit on
salabat,Drink made of ginger
salak,Sieve; strainer
salakab,Salake/ salakay-
salakup,Filter; sieve. sinalak; sieve; strainer; carried in the hand and plunged into shallow stream on top of fish; When thus corraled the fish is removed by hand through hole in the top; attack; salake; salagintuq; beetle; small with wings. salagubang; (This is edible)
salalak,(V./D./.) caught
salale,House supports. salamangka; salamangkeru
salamat,(N./V.) thank(s); give thanks
salamin,Eyeglasses; window
salangi,Something
salapiq,Money; coin. salaping 50 centavo coin
salaq,Sala(q); bright; light; sasalaq grow bright; lantern; error; fault; (V././D./N.) one at fault
salas,See dictionary entry
salat,Sasalat caressing
salaulaq,Be careless. (D./N.) fickle; salbai/ salbahi; salbaqi; salbaye
saldak,See dictionary entry
salese,Repair; arrange; asalese; fixed; okay
salikap,Woven coverless basket; like salikap but with rounded corners
saliksik,Naughty; cheat; defraud; abuse; rape. sinalbayi; put down with bang. sildak; those who have succumbed to temptation; breathe heavily with grief; repair; arrange; asalese; fixed; okay; buy. sasaliq; sinaliq; seliq; saliq sell (cause to buy); thing sold; woven basket; open round top and bottom; two things
salikut,Hide; sinalikut; salikut; -seek; shade (e.g. of tree)
salindruq,Harmonica
saliq,Sell something
salisiq,See dictionary entry
salisul,(V./D./.) next in line; sasalisiq; sinalisiq; standing water; fetid water; the water in nipa groves
salit,Languages; speech. salitsalit
salitaq,Salitsit/ salitcit; word; speech; language; (V./D./.) sasalitsit ooze fat; sizzle
salol,See dictionary entry
salong,Nickname; from Gonsalo
salpak,Tastes unripe
salsa/sarsa,See dictionary entry
salsal,Throw down with force something heavy and fat (as; silsal
salta,Bounce; jounce; jump; sasalta; silta; salta
salubsub,Small splinter
salubung,Greet; hail. sasalubung; gift upon (brought when coming to visit or returning from journey)
salud,Take bath. sasalud; sinalud; salu(d); catch something
salun,See dictionary entry
salupil,Cushion; plug in hole; stopper
saluq,Posts (of house); put in posts
salusad,Red ants
salusuq,Fast; swift; sasalusuq go fast
salut,Disease; epidemic
salutung,Nod greeting; sasalutung
salyuyut,Plant
samak,Anger; hatred; one one is angry sasamaq; tenant. landowner; samak
samaq,See dictionary entry
samas,Correct someone
samat,Betel leaves
samba,Worship; pray. sasamba; simba; pray to someone; sinimba; church. praying; simbang bengi
sambut,(V./.) defeat; be defeated; sahul; sinambut; simbut
sampaga,Flower; blossom
sampaluk,Sampaloc; tamarind. samput- samput
samsam,Heterogeneous; having things of wide variety; abduct; grab; snatch; simsam
samul,Gulp food
samut,Dilute something
sana,Wish; sanay-/sane; accustomed; used to something; drill someone. sasane; sinane; sane expert
sandal,Lean on something
sandataq,Weapon(s); armament
sanduk,See dictionary entry
sanga,See dictionary entry
sanggul,Braid; hair bun
sangkan,Which; whosoever; sandwich; bribe; (from the practice of putting money in sandwiches at political rallies); branch (of tree); excuse; reason; cause; explanation
sangkap,Tool; equipment
sangkut,Sangkutsangkut spiced; accomplice
sanip,Ladle; ladle for someone; join choke on saliva while trying to talk (someone is thinking of you)
santing,Sasanting get nice; become nice. beautify; nice; handsome
santul,Fruit and tree; sandor
santung,Stay in anothers house
sanu,See dictionary entry
sanwic,See dictionary entry
sapak,(D./V./.) full; sinapak
sapal,(N./D.?) sapal ngungut grated coconut
sapaq,See dictionary entry
saparat,Flat; spread (of noses)
sapatus,Shoes; wearing shoes
saping,See dictionary entry
sapingil,See dictionary entry
sapitu,Hair cut; sapitu
sapsaq,See dictionary entry
sapu,Wipe dripping nose on ones sasaping; slap on back of head; force anothers head down. sasapingil; (V./D.) have haircut; cracking; have strong desire for something; catch; salud
sapulaq,Hairband
sapung,Bump something
sapwaq,Stalk (e.g. of banana plant)
saq,Read. saq; reader
sara,Close something; sasara; saragwelas; fruit; kind of plum
saraliq,See dictionary entry
sariliq,Berry or fruit; small; round; has about stones. oneself; live alone; sauce; put sauce on
sariyan,See dictionary entry
sarsa,See dictionary entry
sarswela,Drama; (. zarzuela) like an operetta or Broadway show
sartud,See dictionary entry
saru1,Fishing net; with large square bamboo frame; sarul plow. hoe; sasarul plowing
sasa,See dictionary entry
sasag,Walling; baseboard. saslag-; childrens game; the break of dawn; horizon(?)
sasaq,Seedlings
sastri,Tailor
satsat,Crewcut. glib; talkative
saul/sahul,Defeat; saul; asaul
saup,(V./N.) help. sasaup; sopan/saupan; saup; talakasaup assistant; helpful
sawaliq,Woven walling made of bulu bamboo
sawang,Dizzy; afraid of height
sawaq,(D././V.) tired of something; more than enough of something (as; eating too cream); talakasawaq one who overdoes; gets bored; fed up. sasawaq; sinawaq; sawaq
saya,See dictionary entry
sayad,Broke; worn out; tired. sasayad; sinayad; sumayad
sayang,(D./Excl.) wasted
sayaq,Happy; jolly; cheerful; sasayaq
saynu-gas,(cyanide?) poison used on fish. skwalaq/
sebo,Carpenters -square; greasy
sekreto,Secret; /liim
sekupan,See dictionary entry
selan,Dangerous; in danger; delicate
seli,See dictionary entry
selmon,Sermon; scolding; scold someone
seloso,Jealous
selyu,Stamp(s); seal. sementeryu; cemetery; sementu/ samentu
senakulo,Cement; the Last Supper (Holy Thursday in Holy Week); name of club
sensi,Spatula
sensus,(N./V.) census; take census. sensus demand handout or contribution (esp. to go -house doing this)
sentral,See dictionary entry
senyas,Sign; hint; sesenyas; septyembri; September
sepu,See dictionary entry
sera,See dictionary entry
sero,Empty rice hulls; (V.?/D.?/.) closed; zero; get zero (on test)
seryaq,See dictionary entry
sese,One/thing cared sesese adopt; raise; care sesen
sesyu,Nickname for
si:lak,Shellac
sibad,Kind of bird; some are blue; some are yellow and black; seen near the rivers
sibilyans,Civilians; ones offspring
sibul,Spring; source. sibuqsibuq; kind of worm
sibuyas,Onion(s)
sidja,See dictionary entry
sigalut,Trouble; also the title of zarzuela by Crissot
sigang,Kind of soup with fish and vegetables and spices
sigaq,Tough guy harsh label)
sigarilyu,Cigarette; smoke cigarettes
sigasig,Asthma. sisigasig be in heat
siglaq,See dictionary entry
siguk,Active; noisy; happy; full of life; sisiglaq; hiccough; sisiguk; siniguk
sigundu,Second; Batang Segundu (name of barrio near
siguradu,Assured
siguru,Siguru; sigurus; sigwa(q); disaster
sik,See dictionary entry
sikad,See dictionary entry
sikan,(Number affix; forms ordinals with completed aspect) banwang sikadwaq two years ago; banwang sikatluq three years ago; with force. sisikad; sinikad; strength; capacity; vigor. pull; strong
siklab,Sisiklab flame up. siklod/ siklaud; kneel; Siklod puq; This is phrase said in respect as one greets and the hands of older relative in the evening
siko,Elbow. chico tree and fruit
sikreta,Detective. siksak/ siksek
siksikan,Occasion when people are all trying to crowd into few jeepney spaces; sikwakuq/ kwakuq; (for smoking tobacco)
silab,Fire; holocaust; arsonist; burn something; set fires
sili,Chili. sili konkarne; sili kondog
siliman,Childrens game; like blindmans bluff
silip,See dictionary entry
silo,Binoculars; nyilip; check trap (for animals; fish); sisilo; sinilo
sim,Corrugated sheet ( sheet). simpatcaq; express oneself; capture an audience
simpli,Top of rice stalk; the each grain is attached to
sinabud,Rice seedling
sinada,Small cuts
siname,Lace; heavily embroidered cloth
sindak,Frightened; shocked; remorseful
sindalan,Name of barrio San Fernando and Angeles; there is funny story connected with the origin of the name
sindi,Light candle; burn torch; light cigarette; turn on an electric light. sisindiq smoke cigarettes; light something
sinelas,Rubber slippers (shower shoes)zoris
singal,Sigh; take deep breath. sisingal
singap,Sigh in sisingap
singgagatu,Kind of spider
singil,Charge; collect; collect debts; send bill
singit,Slip into narrow crack; sisingit; siningit; singit; also used with sexual enjoy anothers wife while he is away
single,Money; single coin. source of wealth; rich; wealthy
singo,Charge; collect; collect debts; send bill; slip into narrow crack; sisingit; siningit; singit; also used with sexual enjoy anothers wife while he is away; fried rice. sisingle childrens game: leapfrog; evaporate; steam; ooze. sisingo; siningo
singsing,Ring. ring finger
sinipit,Place name
sinsil,Broad heavy chisel used for cutting; stone; cement. (n)silyu; loose change; coins
sinta,Romantic love; be in love
sintidu,Temple (of head); be hit in temple
sinulid,Thread
sinup,See dictionary entry
sipa,See dictionary entry
sipag,Sinipa; hardworking; sisipag; sinipag; sumipag
siper,Zipper
sipilyu,See dictionary entry
siping,Near; close. sipingsiping; neighbor. one next to you; akasiping
sipit,Toothbrush; brush teeth. near; close. sipingsiping; neighbor. one next to you; akasiping; clamp; sipit clothespins; hairclip; cooking tongs
sipsip,Suck; draw on pipe/straw. sipun/ sira(q); cold; nasal; ruined; destroyed; broken; discouraged; crazy; off your rocker; destroy something
sirup,See dictionary entry
sisi,Regret; repent. sisisi; sumisi; sinisi; regret something
sisilim,(V./N.) twilight
sisingle,Childrens game); eloquent
sisiq,Chick; duckling
sitingpriti,Sitting pretty
sitsit,Buzz; whisper. sisitsit; sinitsit
situq,Nickname; Chito
siyensi,Little Dipper
sobra,(Q./N./D.) excess; sosobra; sinobra; sobra exaggerate
sobri,Envelope
soga/sugay,Tie grazing animal using long rope so the animal can walk around and eat. sinoga
songgo,Monkey
soning,(N./V.) have epilepsy; dogs; chickens). sosoning; sinoning
sopan,See dictionary entry
sopas,Broth; soup
soraq,Annoyed
sorbeti,See dictionary entry
soso,Sososo; sinoso
sosoq,See dictionary entry
spuq,Abbreviated form of diyos puqwhich in turn has been abbreviated from some wish that God be with you or the like; used as greeting and to announce ones presence at anothers house
suberbyu,Stubborn
subiq,See dictionary entry
subliq,Return. return something; subliq
subuk,See dictionary entry
subuq,See dictionary entry
sudsud,Bar used for digging in very hard soil; see (V./.) be mocked
sugal,See dictionary entry
sugat,Gambling. sugarul gambler; susugal; sinugal; wound; break in the skin; susugat; sumugat
suglung,Join two of rope
suguq,Joint labor; helping someone as group; the activity group helps someone
suhul,See dictionary entry
sukab,(N./V.) traitor; treachery
sukad,(N./V.); sukad; susukad; sinukad
sukal,Serious; susubiq; return. return something; subliq; put in the mouth. susubuq; mouthful; attempt; experience something; experiment; vomit. susukaq; thing vomited. (N./V.) traitor; treachery. (N./V.); sukad; susukad; sinukad; trash; rubbish; undergrowth. undergrowth
sukaq,Thing vomited
sukiq,See dictionary entry
sukle,See dictionary entry
sukliq,Purchase relationship; comb; telasukle mons veneris; change; the money returned in transaction; sukliq
suklub,Cover (for pots)
suksuk,Thorns; spines
sukul,Someone. sinukul; sukul; jail; captivity
sulapo,Fly. susulapo; sinulapu; sulapo
sulat,Fly. susulapo; sinulapu; sulapo; write. susulat; sinulat; sumulat; sulat letter; thing; desk
sulbato,Whistle (factory; policemans)
suldung,Shoot target; through ring or hoop; cork bottles)!
suldut,Bedbug
sulip,Earth; area below house
sulit,Examine something; sinulit; examination; capital; return
sulput,Examine something; sinulit; examination; capital; return; appear; show oneself. sulput; susulput; sinulput; kind of grass whose seeds stick to ones clothes
sultador,Carpenters tool; has wooden handle; an shaft about long and small blade like tiny hatchet
sulud,See dictionary entry
suluk,See dictionary entry
sulung,Cyanide poison used on fish; lantern; valve
suluq,Torch; light. sulung koryenti electric light; lighted area; susuluq do something with light; susulung asan go; sinuluq; light candle; join procession
sulut,Cake; bread (made of rice). putu seko; putu sulut; putu bumbung; putu; pututpanara
sulyap,Glance at
suma,See dictionary entry
suman,Corner; suluksuluk complicated; wear; go under something. susulud; sumulud; sinulud; develope; move forward. susulung; forward; leaning; forward (banca; words); poke small hole in something; ram out something blocking hole; putu sulut kind of steamed in hole; doorkey; glance calculate; delicacy made of rice; cylindrical in shape and served wrapped in some kind of leaf (varies with type). suman bulung; suman banus; suman bulagtaq (sexual usage too); suman; suman tamalis; make suman
sumangid,Across; opposite; next one over; next one; sumangid; sumangid dalan
sumbat,Crisis; moral cause; susumbat
sumbung,Accuse; denounce; tattle susumbung; simbung
sumbuq,Light
sumpal,Curse; very serious form of punishment; susumpaq; sinumpaq; simpaq; sinimpaq; climb low sinumpa; block up hole; gag someone; fill; sumpal
sumpaq,Sumpa/ sampa
sumpung,Bump into something; be brought to an abrupt halt; sinumpung; susumpung
sundalus,Soldiers; offspring; sibilyans. sundu(q); continue; agree; to an agreement; agreement; treaty
sundul,Poke down with pole
sungkit,Shining; sunshine. sinlag; tease. susunuq; long pole with slit or hook at the end; used to get fruits from trees; to get fruits with sungkit. susungkit; sungkit; sungit/ sunggit; delicate; easily harmed; easily offended; susceptible to disease
sungsung,Trade sungsung large clay jar; sometimes glazedsaid to be Chinese. pusung sungsung (pusung sagin sungsung); barter; trade. do something of the heat (of the sun). (u)pak; cracked
sunlag,See dictionary entry
sunuq,Tease. susunuq
supapiq,Collaborator
supling,Offshoot; sons; graduate; young citizens; germinate
suput,See dictionary entry
sur-gamat,See dictionary entry
sureras,Beams which support flooring
suri,Check; something; sinuri; committee; study group
susing,Nickname for Jesus
susiq,Check; something; sinuri; committee; study group; lock. sinusi
susu,See dictionary entry
susuq,See dictionary entry
suyaq,Female breast; baby bottle; (name of mountain); sususu nurse; suckle. sinusus; snail; edible shellfish; apun Japanese snail; fed up (with something); see swaq/suaq; pomelo. swala/suala; voice. one who has voice just like another
swam,Swam vegetable dish with corn
swekus,Wooden clogs; slippers
swelas,See dictionary entry
sweldu,See dictionary entry
swiq,Resoled; salary; susweldu pay salary; receive salary; forcibly; person who was born to have special power to remove bones or when stuck in throat
sya,Pleasing
syam,See dictionary entry
syano,Name; Ciano; from Feliciano
syapiq,Base or table of potters wheel
syas,Tough; hard; crisp. amanu tough speech (tensed vowels; crude words); crisp bill; dutung strong; hard wood; syas make strong; Seven Flowers small bird (hummingbird?)
syok,Loud noise
syoki,Homosexual; effeminate
syoktong,Rice wine
syopaw,Food
ta,Occurs in few limited expressions. dont know; balu know. because
tabakuq,Cigar; tobacco. tobacco
tabal,See dictionary entry
tabang,Tasteless
tabaq,Occurs in few limited expressions. dont know; balu know. because; why?; think so; ataq; lard; grease; butter. fertilizer; tabaq; taban
tabing,Put up cloth divider
tabla,Lumber; planed boards
tabtab,Cutting; chop off
tabug,Cutting; chop off; stop up; barricade; chair; tease so that one refuses what he really wants
tabun,Taburete/ tabrete/ taburete
taco,Rooster; tau/tawu/ taqu; person; human being; tau bakulud person from Bacolor; taumbale housewife; person in house; scarecrow
tadtad,(N./V./D.) fear. fear; afraid; frightened; frightening; tatakut; apamatakut; tatadtad chop up; tidtad; tidtad delicacy made of chopped
taga,Combined with the locative deictics or place names to comes originates in -such place
tagabulag,See dictionary entry
tagak,See dictionary entry
tagal,Chase; run after; tinagal; tagal
tagan,Large white heron; seen in December near; said to annually from China; chase; run after; tinagal; tagal; (V./D./.)
tagdiq,Forearm
tagilid,The edge; in danger; back; tagilid face sideways. tatagilid; side; edge
tagilu,Food dish; made of gouramy
taglus,Go home; be at home; taglus? Where is your home?
tagnan,Chopping block
tagu,Strainer
tagumpe,Success; succeed
tagun,Attend
tagyang,See dictionary entry
tahadaq,Kind of candy. tahiq/taiq/ tayiq; dressmaker
tahu,See dictionary entry
taid/tayid,Taimik/ tahimik
taimtim,See dictionary entry
tais/tayis,See dictionary entry
takal,Something; equal in
takap,See dictionary entry
takas,Something; equal cover; cover something; flee; escape; elope. tatakas; tinakas; tumakas
takdaq,Determined date
takde,Shoulder; upper arm
takid,See dictionary entry
takilya,See dictionary entry
taklaq,Laxative
takman,Pull along; human feces. anus; taklaq; taste something
taknedamu,Strong curse
tako/takaw,Greedy; greed
takut,See dictionary entry
tala,Spouse; like mortar and; person; asawa get; asawa arrange; have sexual; asawa have someone to someone else; - rape someone; asawa be
talaba/talba,Clam; oyster; name of barrio of Bacolor
talaga,Real; really; true; in truth; devote oneself
talagaq,See dictionary entry
talagube,Welt(s); bump(s)from bites of niknik; from cold
talakad,Erect; build; stand up. tatalakad; talakad
talaksan,Erect; build; stand up. tatalakad; talakad; of firewood (neatly stacked)
talampakan,Sole of foot
talan,Seize; grasp; hold on handle
talangkaq,Small crabs
talaq,(V./D./.) connect(); hold hands. tataid; tinaid; tumaid; bridle (an animal); taidtaid; taid spur on cock; silent; quiet; silence. earnest; deeply. tataimtim; teimtim; tatais; tais; whetstone. affix with nouns; of list; rank; profession; affix with descriptives; easily; planet bright star). Christmas tree lights
talaran,See dictionary entry
talastas,Excellent; expert. talaib/talayib talahib; cogon grass (used some places for roofing)
talba,Talba; barrio of Bacolor
taldawaq,See dictionary entry
talibatab,Small bat
talik,Right; eagerly; something
talindiking,Side; lele; sumangid; standing sideways
talip,Off. tatalip
taliq,Bind. tataliq; tinaliq; taliq
taliriq,Finger; claw
talnan,See dictionary entry
taloti,Coward
talpakan,Base of pump/faucet
taltal,Taltal talk back and forth in anger
talukab,Crab shell
talung,Taltal talk back and forth in anger; crab shell; kind of vegetable or
talungkuq,(V./.) sitting or squatting on the floor with hands holding knees
talusad,Slip; slide; slippery
tamad,See dictionary entry
tamalis,Variety of suman; specialty of
tamas,Lazy; tatamad; tinamad; enjoy something
tamatis,Tomato
tambayuk,(V./N.) balance two things from stick and carry on ones shoulder; the stick for such carrying
tambilalaq,Overexposure; sickness caused by overheatingpale face and lips
tambulung,Laurel
tampaling,Slap face. timpaling
tampus,Burned to the ground
tamu,See dictionary entry
tamumu,Bumblebee
tanam,Plant. tatanam; plant; garden
tandanan,Remember; recognize; tatandaq
tandang,Young; not yet rooster
tandaq,See dictionary entry
tang,Used as title in friendly address: Tang
tanga,Used as title in friendly address: Tang; dumb; stupid; stupidity
tanggal,See dictionary entry
tanggap,(V./D.) break; knock out; tinggal; receive; accept. tatanggap; tinggap
tanggiq,Refuse; deny; reject; decline; tinanggiq; tatanggiq
tanggul,See dictionary entry
tangke,See dictionary entry
tangkiq,See dictionary entry
tangle,See dictionary entry
tangoq,Receive an affirmative answer (especially in courting). tinangoq; tangoq
tangsu,See dictionary entry
tanikalaq,Chain(s); buckle; tatanikalaq; tenikalaq; tinanikalaq
tansil,Tonsils
tanyang,Famous; classic; celebrated
