word,meaning
bunwan,Small fish corral
bura,See dictionary entry
burak,Buran erase something; eraser; erased; farmer; place; wallowing hole; put in (e.g. balut); play with
buraldal,Clumsy
burarit,Local cockpit in Bacolor
burarul,Place to fly
burat,Pull back of buburat; birat
buren,See dictionary entry
buri/buriq,See dictionary entry
burilyus,Like; want; find pleasure buriq make self liked; buriq thing liked; rods used in working bamboo; in fishing and elsewhere; as lances in contest in which attempt to spear small rings hung on ribbons across Also bingo counters and bowling
buro,Preserved eggs; red eggs; to salt to preserve
burul,Lie in state. burungburung; head of
busa,See dictionary entry
busal,Hit someone with raised knuckle
busbus,Hole. busbus cavity; busbus arung nostril; busbus butunis button hole; bore; poke hole(s)
busina,Horn (for blowing; auto horn); bubusina blow horn
busluq,Basket
busniq,Opened; unlocked. busniq; bisniq; open something; busniq
butil,See dictionary entry
butit,Calf of leg; hit in calf
butul,Opened; unlocked. busniq; bisniq; open something; busniq; grain; calf of leg; hit in calf; plow blade. lit. of boar; seed; stone; bone. size of seed; utak ning butul bone; having seed(s). butunis/ bitunis; button(s); button something up; one who puts on button; can sew on button
butuq,See dictionary entry
buwat/buat,See dictionary entry
bwak,Lift; carry; binwat; hair. bwakbwakan/bwakbwakin hair on arms or forehead; have hair on (as after haircut). bwisit/(w)sit/busit; disturbance; bore; nuisance; bother someone; binuwisit; byakus (biakus/ biyakus) by (h); fishing net; used by one man in current. biyakusan/bayakusan banca used in such fishing; journey; trip; take trip; go around on display (for sale). byasa/byasa/ biyasa (V./.) know how; knowledgeable; is learning
bye/bie,Give
bye/byay,Life. ways of life; occupation; living; source of life; hatchery; alive; mye live; be alive
byernis,See dictionary entry
byuda,See dictionary entry
byuk,Friday. byernisanto Good Friday; lupangbyernisanto; scar; scarred; give scar to someone
byung,Roaring sound; biyung; binyung
ca/tsa,See dictionary entry
cekblad,(Eng. check blood) have ones blood checked
cesa/tiesa,Yellow (fruit?) like camote; with seed. cinelas/ tsinelas sinelas
cokaran,Rubber slippers; zoris; gangmate; buddy (thought by some to be word borrowed from English). conggo/ songgo; monkey; used as teasing label for people
cupa,See dictionary entry
cupon,Uwa thirst
daba,Large; cooking pot; made of clay; black. dabid/david; first name; family name
dabung,Shoots; young leaves; leafy
dagdag,Augment something; ragdag
dagis,Rat(s); tigsang dagis lump in flesh caused by sharp blow
dagul,Augment something; ragdag; rat(s); tigsang dagis lump in flesh caused by sharp blow; grow big. daragul; dinagul; ragul; bigness; raising
daig/de:g,Superior; more powerful; daig overcome; deig
dakal,See dictionary entry
dakap,Rakal; catch; apprehend
dake,Phase; share; portion. dakedake; rake
dakitan,Fetch home; escort home
dala,Dalakit (dakit-)?
dalaga,Bring; carry; dalan; dala; come over; come across (e.g. go to neighbors house). dinalakit; e.g. bamboos for crossing stream or chasm; the act of crossing; young woman; dalagita; gathering of dalaga; become dalaga; have dalaga daughter
dalagita,Young girl in or early teen age; become dalaga
dalamat,Serious sickness
dalan,Road; by for someone; dalan; others; made into
dalas,Madalas/maralas often. /; ralas/dalas
dalayap,See dictionary entry
daldak,Grind; pound; daraldak; daldak
dale,See dictionary entry
dalig,Wall; dalig
dalit,Chant; song; dadalit sing; dalit
dalo,Visitor; visitation; visit; bisita
